Feature1,Feature2,CorrVal,RCode
seg1_dependency_distance_mean,seg1_doc_length,0.7175907088234833,seg1_dependency_distance_mean*seg1_doc_length
seg1_dependency_distance_mean,seg1_sentence_length_median,0.7139185102113716,seg1_dependency_distance_mean*seg1_sentence_length_median
seg1_dependency_distance_mean,seg1_n_unique_tokens,0.7120930711084813,seg1_dependency_distance_mean*seg1_n_unique_tokens
seg2_dependency_distance_mean,seg2_doc_length,0.71458953583901,seg2_dependency_distance_mean*seg2_doc_length
seg2_dependency_distance_mean,seg2_sentence_length_median,0.7085014107052181,seg2_dependency_distance_mean*seg2_sentence_length_median
seg2_dependency_distance_mean,seg2_n_unique_tokens,0.7130008086513653,seg2_dependency_distance_mean*seg2_n_unique_tokens
seg1_n_stop_words,seg1_doc_length,0.9604044098311298,seg1_n_stop_words*seg1_doc_length
seg1_n_stop_words,seg1_n_tokens,0.9649262059168544,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_sentence_length_median,0.9529920126111748,seg1_n_stop_words*seg1_sentence_length_median
seg1_n_stop_words,seg1_n_unique_tokens,0.938549347204679,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.9285149086493212,seg1_n_stop_words*seg1_n_characters
seg1_n_stop_words,seg1_flesch_kincaid_grade,0.8609863030057762,seg1_n_stop_words*seg1_flesch_kincaid_grade
seg1_n_stop_words,seg1_gunning_fog,0.8241088416831573,seg1_n_stop_words*seg1_gunning_fog
seg1_n_stop_words,seg1_automated_readability_index,0.8480232125055703,seg1_n_stop_words*seg1_automated_readability_index
seg1_n_stop_words,seg1_lix,0.7001741742419441,seg1_n_stop_words*seg1_lix
seg2_n_stop_words,seg2_doc_length,0.9628388777199812,seg2_n_stop_words*seg2_doc_length
seg2_n_stop_words,seg2_n_tokens,0.9642701780589152,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_sentence_length_median,0.9522748990483872,seg2_n_stop_words*seg2_sentence_length_median
