ID	relation	seg1_text	seg2_text	topic	nli	annot1	annot2	gold	neu conflict	disagree
QT30_nodeset21338_003	support	there's a better way to maybe win hearts and minds	there's a risk of anything which is forced can sometimes have a corresponding resistance		neutral	contradiction	entailment	entailment		True
Web_3278	attack	faith is believeing in something without evidence	evolution has actually never been observed		neutral	neu	neu	neu		
12Ang_057	SUPPORT	I'd like to change my vote to not guilty.	It's a feeling I have [that he is not guilty].	Act2-TwelveAngryMan	entailment					
IBM_stance_1559	support	This house would build high rises for housing	Planning policies that increase population densities in urban areas tend to reduce car use		neutral	neu	neu	neu		
US2016_nodeset10597_014	support	I agree with you that the entirety of the email scandal is a huge blackspot on CLINTON's campaign, but where I feel like I disagree with you is the fact that, despite CLINTON's major lapse in judgment, that blackspot does not even come close to the negatives of a potential TRUMP Presidency	If TRUMP can't prepare for a 90-minute debate, then what makes anyone think TRUMP will be prepared for 4 years		neutral	entailment	entailment	entailment		
US2016_nodeset10835_018	support	today the country is divided	KELLY asked a question about the police and the difficulty in communities		neutral	neu	contradiction	neu	True	True
DebPed_053	support	Once Gaddafi realizes that he is up against an endless supply of arms and ammunition, he will surely recalibrate his decisions. There have been reports that he floated the idea of leaving office as long as he is guaranteed safe passage.	Arming Libyan rebels has a military impact on the rebels' combat abilities and in ousting Gaddafi from power.	Arminglibianrebels	entailment					
DebPed_009	attack	F.B.I. data shows that youth violence continues to decline. It is now at its lowest rate in years. Violent video games, therefore, can hardly be seen as a major problem since they've been around for years.	Violent games make youth more agressive/violent.	Violentgames	contradiction					
DebPed_257	attack	Privatizing social security would wrongly enrich banks. Privatization would represent a windfall for Wall Street financial institutions, who would obtain significant fees for managing private accounts.	If Social Security were privatized, people would deposit their income with a bank. People actually save resources that businesses can invest. We, as true savers, get more resources in the future.	Privatizingsocialsecurity	neutral					
Web_3023	support	for the bible to be divinely inspired all the persons writing the bible or translating the bible had to be listening to god all the time	now the trick is to prove that all of the authors were free of stray thoughts and theological spin		neutral	contradiction	entailment	contradiction		True
