ID	relation	seg1_text	seg2_text	topic	nli	annot1	annot2	gold	neu conflict	disagree
JoDeb_causal_2806	support	A progressive tax system is preferred to, for example, a flat tax.	Wealthy benefit more from system, so owe a greater tax debt		neutral	entailment	neu	neu	True	True
ComArg_UGIP_0403	neutral	Saying under God does not have to refer to a Christian God, or even a strictly religious God. I find it uplifting to state that we are all united under a greater power, whether it be that of a deity of doctrine or a collective, spiritual sense of our country's connectedness. Under God can mean different things to different people, but it is a good thing to recognize a power and purpose that is greater than any one individual.	Removing under god would promote religious tolerance		neutral	contradiction	neu	neu	True	True
QT50_nodeset28367_003	support	be cautious	there is a danger of infection		neutral	neu	neu	neu		
NK_deb_1748	attack	But I can take no satisfaction in them . I can take no satisfaction in coming to this valley and seeing pottery mills , seeing steel mills working part time , seeing rivers that are polluted , seeing an administration which has twice vetoed the area redevelopment bill , which has vetoed a hill to clean our rivers , which has vetoed twice in the last 12 months a housing bill , which considers $ 1.25 minimum wage an extreme , which considers medical care for the aged as extreme , and I quote Mr. Nixon accurately . I stand tonight in this city of Salem , in the State of Ohio , where Franklin Roosevelt stood and Woodrow Wilson , and I come here tonight and ask your help in this campaign .	It is very easy to talk about all the programs you 're for , but when they had the opportunity , as they have had the opportunity during these past years , they were not able to move forward in these areas in which they have talked . Now , let 's look at some of these programs , and particularly one that will be of great interest to this audience here , the program of medical care for the aged . We stand for a program which recognizes this program , recognizes it because we know that all of our families in this country want to see to it that our older citizens not only are well cared for , but that they have the opportunity to get care particularly when illnesses of serious nature strike .		neutral	neu	entailment	neu	True	True
DebPed_059	support	The alternative to arming the rebels is almost certainly many thousands executed and thousands more disappeared by Gaddafi's military and secret police though.	Arming Libyan rebels has a military impact on the rebels' combat abilities and in ousting Gaddafi from power.	Arminglibianrebels	entailment					
QT50_nodeset28868_000	attack	the price cap on energy is 2,500	it is not technically a price cap		neutral	entailment	contradiction	contradiction		True
FinARG_FB_Q1_2016_17256_7_05	support	i shared a stat before in some of my comments that on gear vr alone, we are now at more than 2 million hours of video have been watched on the platform,	so that's really exciting.		neutral	entailment	entailment	entailment		
QT30_nodeset20736_000	attack	we all have to remember as we move forward that it is nothing compared to what Sara Everard's family are feeling this morning	we're talking about Sara Everard's murder in a clinical, policy-driven way about an appalling human event		neutral	contradiction	neu	neu	True	True
NK_deb_1087	support	And what did he say we ought to do ? And I quote him exactly . He said that we should support - the U.S. Government should support - the anti-Castro forces in and out of Cuba . What happened ? This had a terrible effect all over Latin America .	Do you now contend that the quotation is inaccurate ? Your language clearly means what James Reston of the New York Times said it means , as I quoted in my telegram to you , as follows : His [ Mr . Kennedy 's ] statement this week on Cuba publicly calling for Government aid to overthrow Castro is a clear violation of the inter-American treaty prohibition against intervention in the internal affairs of the hemisphere republics . Virtually every major newspaper which has commented on the subject understood your remarks as Mr. Reston did and as I did that you were advocating direct Government support of the anti-Castro forces both in exile and in Cuba .		neutral	entailment	entailment	entailment		
NK_deb_1686	neutral	Today , 100 years later , I come from my native city of Boston to Wisconsin , to tell you that Carl Schurz 's teachings have not been forgotten . That I know , and all Americans realize , that peace and disarmament are remote and difficult goals . But we have chosen them as ideals to guide our actions .	I see him , ruthless , tough , completely a man dedicated to one purpose only - the evil purpose of conquering the world , and this is what I know . If America ever makes the mistake of entering into a disarmament agreement , which he does not also keep with inspection , it will increase the danger of war rather than reduce it , and I 'll tell you why : We can not leave to a man who is the enemy of peace power to start a war and destroy the world . We have to have the power because we are friends of peace .		neutral	contradiction	contradiction	contradiction		
Web_1182	neutral	If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.	The Conservative leader said he was angry at the remarks and accused Mr Barroso of lecturing his party.		neutral	neu	contradiction	neu	True	True
DebPed_234	attack	The majority of people caught drink driving have not been from random breath tests. They have been from tip-offs, police chases and police pulling over suspects, not random breath testing.	 Millions of Canadians continue to drink and drive because they can do so with little fear of being stopped, let alone charged and convicted. Recent survey results and charge and conviction data indicate you could drive drunk once a week for more than 3 years before ever being charged with an impaired driving offence, and for over 6 years before ever being convicted. Other survey data would put the figures closer to 6 and a half years before a charge, and nearly 13 years before a conviction.	Sobrietytest	neutral					
Webis-Debate_4458	neutral	I prefer the version edited by Pmanderson on 22 Dec 2009 (the version by Gun Powder Ma). That version needs some improvement (some consistency in spelling for one thing), but the version is much superior to the version by Ludwigs2. I do not find the complaint about references persuasive. I do not find that the disputed section has too much prominence. Gun Powder Ma is not creating a relationship between the Roman Empire and taoism. PYRRHON  talk  	I found an explicit reference to the Roman symbols in a work entirely devoted to Taoism. It is, notably, included in a discussion of the history of the Taijitu in the The encyclopedia of Taoism, pp.934-36:		neutral	neu	contradiction	neu	True	True
Web_3278	attack	faith is believeing in something without evidence	evolution has actually never been observed		neutral	neu	neu	neu		
AAAI2018_01_17	support	Yes agree with this idea of building Quebec's road 	I just think it is better that they give back to society, we could use people to rebuild Quebec's roads, just saying. 		neutral	entailment	entailment	entailment		
DebPed_119	support	"No-fly zone would significantly benefit Libyan rebels. General McPeak said to New York Times: ""I think it would have a real impact. It might change their calculation of who might come out on top. Just the mere announcement of this might have an impact""."	A no-fly zone over Libya has a significant impact on conflict.	Noflyzone	entailment					
