ID	relation	seg1_text	seg2_text	topic	nli	annot1	annot2	gold	neu conflict	disagree
12Ang_029	ATTACK	Take a look at that knife. It's a very strange knife. I've never seen one like it before in my life and neither had the storekeeper who sold it to him.	It's possible that the boy lost the knife and that someone else stabbed his father with a similar knife. It's possible.	Act1-TwelveAngryMan	neutral					
Web_0152	attack	I sense that Farage is a total megalomaniac, a charlatan, someone who is in it for the attention and the glory and that in a strange way, that many UKIP voters know this but don't seem to mind.	Nigel Farage understood people want us to do even more for hard-working people.		neutral	contradiction	contradiction	contradiction		
ComArg_UGIP_0424	neutral	Well, i think that no religious statement should be included in the Pledge of Allegiance. When people refer to any religion, they should be in the situation in which they respect and follow that specific God or Goddess (whichever, one or more) and remain in the boundaries of supporting the land in which they created. If, for example, the U.S is considered a religious country, then if they speak about God, they should consider thinking about what God does for his people, not only what he chooses for being wishy-washy. He can't prohibit something the U.S for being different or because something looks bad or inappropriate as some might say. You can't talk about a specific religion unless you truly understand it, it's not logic for anyone to think like that.	Under God  is part of American tradition and history		neutral	contradiction	contradiction	contradiction		
ArgEss_essay070_04	neutral	the improvements of work efficiency also attribute to the speed-up of working pace, resulting in traffic jams during rush-hours	it seems not easy to increase petrol price instantly		neutral	contradiction	neu	neu	True	True
ArgEss_essay094_07	neutral	if a child is educated to have a hygienic lifestyle at a very young age, he also keeps it when older	Health education causes long-term positive effects on our next generations		neutral	contradiction	contradiction	contradiction		
DebPed_268	support	"Service necessary for some geographically threatened states. Henrik Trasberg, a 20-year-old law student who is at the moment serving in the 4th Single Infantry Battalion in Johvi as a driver, thinks that mandatory military service is necessary: ""Our geographic location and historical backround forces Estonia to have a good defense capacity."	National conscription is important to national security.	Militaryservice	neutral					
12Ang_025	SUPPORT	I had a peculiar feeling about this trial. Somehow I felt that the defense counsel never really conducted a thorough cross-examination. I mean, he was appointed by the court to defend the boy. He hardly seemed interested. Too many questions were left unasked.	I don't know [if he il guilty].	Act1-TwelveAngryMan	entailment					
Web_1747	neutral	I don't think most people realise the benefits of free trade at all, and UKIP capitalise on peoples ignorance of the benefits of free trade as much as they can.	Do you want to stick with us, on the right track - delivering an economy for hardworking people? Or do you want to put all of that at risk with Ed Miliband and his crazy plans to tax business out of existence? That'll be the choice.		neutral	contradiction	neu	neu	True	True
FinARG_FB_Q3_2015_17233_7_03	support	and that isn't giving the most voice to the most people.	so we feel a responsibility to have policies for our community which limit hate speech and limit things which are going to create just an overwhelmingly uncomfortable environment for people that is going to silence other people's speech in order to make sure that over the long-term we are enabling the most people to be able to express as much as possible as they can.		neutral	entailment	neu	neu	True	True
DebPed_292	support	"Natural gas can help smooth the transition to renewable energy. Natural gas is a good first step in cutting emissions, and can act as a bridge to cleaner alternatives. The supporters of the Broadwater LNG terminal in Long Island Sound make this case: ""Natural gas play a vital role in providing a bridge from traditional fossil fuels to a renewable energy future"". "	Gasoline vehicles can be converted to run on natural gas. This means that heavy-polluting vehicles can be transformed into much lower-emission vehicles. This is key, as the millions of gasoline vehicles on the road currently cannot be immediately removed from the road.	Gasvehicles	neutral					
micro_d08_01	attack	and the mood in the stock market could be better on the whole,	you should buy IBM shares if you want to invest.		neutral	contradiction	neu	neu	True	True
DebPed_061	attack	Random breath testing doesn't necessarily lower drunk driving. Many countries have had random testing for some time and have seen no real fall in drink driving figures.	Random sobriety tests for drivers are effective at deterring drunk driving.	Sobrietytest	contradiction					
12Ang_051	SUPPORT	The old man wouldn't really lie. But perhaps he'd make himself believe that he heard those words and recognized the boy's face. [He wore a torn jacket, and he carried two canes. He is an insignificant man who has been nothing all his life and needs to be recognized].	He was a very old man with a torn jacket, and he carried two canes. This is a quiet, frightened, insignificant man who has been nothing all his life, who has never had recognition—his name in the newspapers. A man like this needs to be recognized. To be questioned, and listened to, and quoted just once.	Act2-TwelveAngryMan	entailment					
AAAI2018_09_08	support	 By the way, mixing up children is possible when practicing sports or other extra school activities. 	 It is easier to implement an education strategy geared specifically towards one gender. And both genders will gain from it. 		neutral	neu	contradiction	neu	True	True
IJCAI2015_01_04	support	Well, the thing is that animals don't have human rights. Humans have large brains, form social groups, communicate and are generally worthy of moral consideration. We also are aware of ourselves and of the nature of death. Some animals have some of these characteristics but not all so should not have the same rights. In harming animals to benefit humans, we enter in to a good moral trade-off to create a greater good.	OK. First of all, the animals have different biological structure with respect to human beings. The test result may not be the same on the animals and human beings. On the other hand, the animal can not talk, of course the researcher can monitor the body status, while some researches need to get accurate feelings from humans.		neutral	entailment	entailment	entailment		
AAAI2018_010_19	attack	"I do not agree with this: ""Put yourself at the site of the diseased or malformed children makes you wonder if it's better off dead"". It is a form of eugenics to me."	The site of the diseased or malformed children is made by actual human, if you're not born, you're not a human yet, specially at the second semester.		neutral	contradiction	contradiction	contradiction		
