ID	seg1_text	seg2_text	gold
micro_b058_03	as you don't even need doping tests, only a neutral console.	Plus the hurdle to make video games Olympic events is minimal,	entailment
IBM_stance_2389	This house would promote democratization	democracies have ever been found incompatible with personal security or the rights of property	neu
Webis-Debate_3563	I'm planning to request a Second opinion about the differences between myself and Routerone over the editing this page unless	I think a middle ground is possible here. Visions and miracles are often questioned by skeptics, and noting that skepticism is valid for this article. The possibility that the first vision was a delusion (or pious fraud, etc) is certainly plausible, but that can only be put into the section if there is a good source supporting it (and that source must specifically talk about the First Vision, not just JS in general). The original text had a quote from Brody, no? I would suggest cutting that text down to one sentence, focusing on the Brody quote. --	neu
QT30_nodeset25472_076	it starts at school	when Nadhim Zahawi was a Minister for Children and Families, we brought in both relationship education at primary school, as compulsory and sex and relationship education at secondary school as compulsory as well and we did a lot of really deep thinking, hard work and consultation for that bit of the curriculum	neu
micro_b010_01	Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,	Alternative treatments should be subsidized in the same way as conventional treatments,	neu
IBM_stance_2108	This house believes that advertising is harmful	advertising often reinforces stereotypes	entailment
NK_deb_0779	From now until November 8 we are taking our ease to the forum in which it belongs , where there is no threat of veto , where there is no parliamentary obstruction , and where we will be successful - and that is the forum of the American people . Until a Democrat is in the White house , the Republicans can block action on an adequate minimum wage , they can water down medical care for the aged , they can play politics with civil rights , they can block action on a decent housing bill and a good school bill . But they can not block the American people on November 8. The theme of this campaign is going to be action - action at home to keep pace with our growing needs , to help the unfortunate , to build a still greater nation - and action abroad , to match the rise in Communist power , to meet the turbulent revolutions reshaping our globe .	 I am sure that the threat of a White House veto mentioned by every speaker opposing the amendment contributed to this defeat . In addition , it should be noted that only one Republican voted for this sound approach to the medical care for the aged program .  This vote demonstrates that if we 're going to have effective legislation in this and other fields , we 're going to have to have an administration that will provide leadership and a Congress that will act .	entailment
JoKialo_norm_51659	For protest and action which is likely to lead to regime change, public anger needs to be at a high level, which would come through increased sanctions. This has been seen in Iran in January and during the Arab Spring with [mounting economic grievances being a driver of protest](https://www.washingtonpost.com/news/monkey-cage/wp/2018/01/02/what-are-the-lessons-of-the-arab-uprisings-for-irans-protests/?utm_term=.bbf07d2aa473).	It's possible that increased sanctions would be blamed on the US, particularly given their unilateral nature, and lead instead to increased nationalism and increased support for their existing leadership.	contradiction
NK_deb_1748	But I can take no satisfaction in them . I can take no satisfaction in coming to this valley and seeing pottery mills , seeing steel mills working part time , seeing rivers that are polluted , seeing an administration which has twice vetoed the area redevelopment bill , which has vetoed a hill to clean our rivers , which has vetoed twice in the last 12 months a housing bill , which considers $ 1.25 minimum wage an extreme , which considers medical care for the aged as extreme , and I quote Mr. Nixon accurately . I stand tonight in this city of Salem , in the State of Ohio , where Franklin Roosevelt stood and Woodrow Wilson , and I come here tonight and ask your help in this campaign .	It is very easy to talk about all the programs you 're for , but when they had the opportunity , as they have had the opportunity during these past years , they were not able to move forward in these areas in which they have talked . Now , let 's look at some of these programs , and particularly one that will be of great interest to this audience here , the program of medical care for the aged . We stand for a program which recognizes this program , recognizes it because we know that all of our families in this country want to see to it that our older citizens not only are well cared for , but that they have the opportunity to get care particularly when illnesses of serious nature strike .	neu
ComArg_GM_0636	It's a human right, not a heterosexual privilege.   The full faith and credit clause of our Constitution states that if one state makes a law, other states have to recognize it. It's kind of like having a driver's license in IL then going to WI, it's valid and just the same. So, in theory if one state legalizes gay marriage and the couples disperse throughout the U.S. every state SHOULD recognize it. I cannot wait until states start losing federal funding over this. It reminds me of the struggles the African Americans went through ( I'm not using that to lessen the intensity but to serve as a comparison.) The whole state's rights issue is surfacing again and it will be interesting to see how our government handles it. Hopefully we don't have the same bigots and hateful people in office so things can fall into place. Separate the church and the state. Marriage has been seen in more recent times as a religious term, even given to atheists. And if all sin is the same in the eyes of god, why is it any different giving homosexuals the ability to use that term? Legalizing gay marriage would increase revenue, stop legal discrimination against the newly created and heavily ostracized minority and enable love to flourish.	It is discriminatory to refuse gay couples the right to marry	entailment
AbstRCT_12837811_06	Patients treated with DC had a median survival of 11.3 v 10.1 months for VC-treated patients (P =.044; hazard ratio, 1.183 [97.2% confidence interval, 0.989 to 1.416]).	DC resulted in a more favorable overall response and survival rate than VC.	entailment
ArgEss_essay318_03	Capitalism enfranchised people's right to own properties, and consequently, their rights to use them	charging them extra fee might seems to be out of the jurisdiction	neu
IBM_stance_0742	This house would fund education using a voucher scheme	vouchers improve academic outcomes at public schools	neu
JoKialo_causal_124371	Paper is a renewable resource and is biodegradable, while ebook readers are not produced from renewable resources and are vulnerable to planned obsolescence.	Most users have a smart device regardless of weather they read e/paper books or not.	neu
UKP_nuclear_energy_2398	Nuclear energy is a good energy source for the future.	These discussions always kinda baffle me .	neu
AAAI2018_06_12	 I think that religion is important for a lot of people, and that is not the problem. 	 Religion does more good than harm. People do more harm than good. 	neu
