ID	seg1_text	seg2_text	gold
AAAI2018_06_11	 I don't agree with the sentence that religion in itself does more harm than good. What brings conflict is the need that some individuals related to these religions want to impose their beliefs on others. 	 Religion does more good than harm. People do more harm than good. 	entailment
FinARG_FB_Q2_2015_17225_9_05	and i think when people think about our mobile app install ads they often think this only applies to developers and small companies, and really it's them as well but it's also companies like hbo which are using those ads to drive adoption and downloads.	when you think about mobile app install ads, those are an important but relatively small part of our revenue.	neu
AAAI2018_01_17	Yes agree with this idea of building Quebec's road 	I just think it is better that they give back to society, we could use people to rebuild Quebec's roads, just saying. 	entailment
US2016_nodeset10597_014	I agree with you that the entirety of the email scandal is a huge blackspot on CLINTON's campaign, but where I feel like I disagree with you is the fact that, despite CLINTON's major lapse in judgment, that blackspot does not even come close to the negatives of a potential TRUMP Presidency	If TRUMP can't prepare for a 90-minute debate, then what makes anyone think TRUMP will be prepared for 4 years	entailment
US2016_nodeset10412_001	TRUMP's terrifying as a potential President, but fantastic as entertainment	Trump is really good at the theatrics of politics	neu
Webis-Debate_0023	Proposed merge of the content from an article called Home computer. Most of the content there overlaps or is redundant.	- it's useful to strip out the fad for the low-power 8-bit machines of the '80s from the general trend of personal computer usage. There was a lot more distance between the Commodore 64 at home and the XT at the office than is realized by modern users. --	neu
US2016_nodeset10850_060	there are things we can do	we need to have more second chance programs	neu
FinARG_MSFT_Q3_2016_17185_6_00	i mean, i think the overall for me across all of our product lines, whether it be windows or whether it be office 365 or azure, developer momentum, isv momentum is super important priority for us, both in terms of our developer evangelism, our product engineering teams, as well as everything that we will do to even create success for our partners through our field sales organization is a top of mind priority.	so you will only increasingly see us deliver more design wins there.	neu
FinARG_AMZN_Q1_2015_17302_9_00	as brian said, we're feeding the platform and certainly common thing with category expansion, new fcs, original content, prime instant video devices, prime now.	it’s growing very fast.	neu
UKP_school_uniforms_newFormat_2896	School uniforms should be established in schools.	In some educational institutions it is compulsory , while in others it ’s not .	contradiction
QT30_nodeset24992_026	as well as the £10 billion, there is sings this we've which will benefit the people who need it most	£10 billion is a lot to spend on doing the basics to save lives	neu
JoKialo_causal_122572	If any, it's going to take a lot of time before seeing the economic benefits.	The UK [has already lost](https://www.independent.co.uk/news/business/news/brexit-uk-economy-office-for-budget-responsibility-no-deal-gdp-investment-inflation-a8579306.html) £500 million a week due to the decline in GDP growth relative to what it would have been if the vote hadn't occurred.	neu
ComArg_GM_0838	People were made to reproduce. you can't do that when your with your own gender. You don't see any other living thing do it.	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	contradiction
JoDeb_norm_6277	The US federal government should increase the minimum wage.	The One America Committee	neu
AbstRCT_12837811_06	Patients treated with DC had a median survival of 11.3 v 10.1 months for VC-treated patients (P =.044; hazard ratio, 1.183 [97.2% confidence interval, 0.989 to 1.416]).	DC resulted in a more favorable overall response and survival rate than VC.	entailment
Web_2340	joe i do	joewe look at the options	neu
AAAI2018_08_07	 So, if we cannot manage this, we can just not allow anyone to have a gun. 	" I've been working in the educational field in USA, and there nothing worse than a kid talking about the gun of his father. As you cannot say ""the right to carry guns is for people without a kid only"". Than no right at all."	entailment
AbstRCT_15037889_01	No changes in the optic nerve head topography in the vertical cup-to-disc ratio and rim area measured by image-analysis techniques were observed in either group.	both showed similar effects on visual field performance.	neu
ArgEss_essay253_05	This will address students' interests	by bridging the theories with daily life events, students are given the chance to apply knowledge to their lives and develop their own ability of problem-solving	neu
US2016_nodeset10058_010	the debate has been way too hostile	the debate got chippy only when Hillary Clinton chimes in	neu
AAAI2018_01_16	 For all people except terrorist that's okey 	I'm against death penalty: a human cannot decide about the life of another human. 	contradiction
micro_b016_00	The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.	That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).	contradiction
micro_b001_01	Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.	Yes, it's annoying and cumbersome to separate your rubbish properly all the time.	entailment
AbstRCT_29507944_00	Change in global perfusion did not differ between treatment groups: the mean (SD) change was -0.5 (9.4) mL/min/100 g in the standard group vs 0.7 (8.6) mL/min/100 g in the intensive group (partial η2, 0.004; 95% CI, -3.551 to 5.818; P = .63).	Intensive BP lowering did not reduce cerebral perfusion in severe small vessel disease.	entailment
UKP_nuclear_energy_0256	Nuclear energy is a good energy source for the future.	The result is an inefficient loss of electrical energy .	contradiction
ComArg_UGIP_0134	Its apart of the pledge. You are not required to say it. And if you don't want to say it, DON'T! People are really making a huge deal because the pledge says Under God Well if you don't agree with it don't say it. It should'nt be changed for a few athiest out there. If they take it out its going to make a lot more people mad then angry.	Implies ultimate power on the part of the state	neu
US2016_nodeset10460_015	there is nothing new about it	the Republican Party's been fighting against a single-payer system for a decade	neu
AbstRCT_15378098_01	With a mixed modeling approach, total FACIT F scores for the entire sample declined at a significant rate (p = 0.003) beginning with cycle 3	Seated exercise may be a feasible exercise program for women with advanced cancer for controlling fatigue and improving physical well-being.	neu
